County,Year,Cohort,N_recent_movers_weighted,Pct_born_in_Texas_overall,Pct_hispanic_among_movers,N_hispanic_movers_weighted,N_nonhispanic_movers_weighted,Pct_born_in_Texas_among_hispanic,Pct_born_in_Texas_among_nonhispanic
Bexar (San Antonio),2019,41-50 (Family / Peak Career),35665,44.1,100.0,35665,0,44.1,
Bexar (San Antonio),2021,41-50 (Family / Peak Career),31046,49.1,53.4,16572,14474,64.3,31.6
Bexar (San Antonio),2022,41-50 (Family / Peak Career),32633,39.6,56.1,18291,14342,40.8,38.0
Bexar (San Antonio),2023,41-50 (Family / Peak Career),35541,44.8,60.0,21320,14221,46.8,41.9
Bexar (San Antonio),2012,51-64 (Pre-Retirement),26327,50.4,100.0,26327,0,50.4,
Bexar (San Antonio),2013,51-64 (Pre-Retirement),27912,49.8,100.0,27912,0,49.8,
Bexar (San Antonio),2014,51-64 (Pre-Retirement),30186,49.4,100.0,30186,0,49.4,
Bexar (San Antonio),2015,51-64 (Pre-Retirement),37593,48.3,100.0,37593,0,48.3,
Bexar (San Antonio),2016,51-64 (Pre-Retirement),29674,47.6,100.0,29674,0,47.6,
Bexar (San Antonio),2017,51-64 (Pre-Retirement),30943,49.7,100.0,30943,0,49.7,
Bexar (San Antonio),2018,51-64 (Pre-Retirement),29478,49.8,100.0,29478,0,49.8,
Bexar (San Antonio),2019,51-64 (Pre-Retirement),31293,49.7,100.0,31293,0,49.7,
Bexar (San Antonio),2021,51-64 (Pre-Retirement),23678,59.5,43.7,10342,13336,73.7,48.5
Bexar (San Antonio),2022,51-64 (Pre-Retirement),27193,45.3,54.2,14739,12454,55.2,33.5
Bexar (San Antonio),2023,51-64 (Pre-Retirement),33842,44.5,52.7,17836,16006,50.3,38.0
Bexar (San Antonio),2012,65+ (Retirement),11683,49.2,100.0,11683,0,49.2,
Bexar (San Antonio),2013,65+ (Retirement),17481,51.1,100.0,17481,0,51.1,
Bexar (San Antonio),2014,65+ (Retirement),16138,53.7,100.0,16138,0,53.7,
Bexar (San Antonio),2015,65+ (Retirement),12164,48.9,100.0,12164,0,48.9,
Bexar (San Antonio),2016,65+ (Retirement),16815,45.5,100.0,16815,0,45.5,
Bexar (San Antonio),2017,65+ (Retirement),14863,50.5,100.0,14863,0,50.5,
Bexar (San Antonio),2018,65+ (Retirement),14947,48.8,100.0,14947,0,48.8,
Bexar (San Antonio),2019,65+ (Retirement),17664,48.8,100.0,17664,0,48.8,
Bexar (San Antonio),2021,65+ (Retirement),15690,51.5,36.1,5670,10020,64.1,44.4
Bexar (San Antonio),2022,65+ (Retirement),18593,52.4,34.7,6452,12141,67.2,44.5
Bexar (San Antonio),2023,65+ (Retirement),19915,35.4,41.7,8295,11620,51.5,24.0
Dallas,2012,18-24 (College / Entry),64144,54.3,100.0,64144,0,54.3,
Dallas,2013,18-24 (College / Entry),71592,52.8,100.0,71592,0,52.8,
Dallas,2014,18-24 (College / Entry),67524,52.6,100.0,67524,0,52.6,
